id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21169513,TONI'S Winterfell Home in Athens near Metro,112527018,Toni,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98272198914699,23.727027918764236,Entire home/apt,55,1,107,2019-02-02,6.72,55,194
21172911,A cozy place in privileged neighborhood+metro,128123124,Philip,,ΑΜΠΕΛΟΚΗΠΟΙ,37.989506061729756,23.757002325786956,Entire home/apt,36,3,21,2018-12-28,1.32,1,362
21174451,Timeless Memories - room with balcony,139285623,Jasmina,,ΚΟΛΩΝΑΚΙ,37.97891882255338,23.739187277198248,Private room,20,1,60,2019-01-11,3.73,3,205
21181797,Recently renovated Athens house near Acropolis,137045961,Manolis,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95644288660726,23.730587163554457,Entire home/apt,35,4,2,2018-05-22,0.14,1,88
21184241,Medluxe Acropolis Museum! Makrygianni sidewalk,11929206,Christina,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9677348960058,23.730256266776493,Entire home/apt,92,1,99,2019-02-03,6.53,7,297
21184375,Artist's Apartment Athens Center,6720362,Versaweiss,,ΠΑΓΚΡΑΤΙ,37.97048489691301,23.747023621556867,Entire home/apt,24,1,64,2019-01-11,4.03,2,0
21185525,Classic Family apt next to metro to visit Athens!,51341357,Demi And Spiros,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.01928798990576,23.730053240880633,Entire home/apt,36,2,8,2018-10-21,0.53,3,266
21186246,Nikol apartment.,152993156,Nikoletta,,ΠΑΓΚΡΑΤΙ,37.965879273556666,23.755165176313692,Entire home/apt,30,1,1,2017-10-21,0.06,1,364
21188553,Elegant & Comfy 2bdr -central location (RedCross),2718115,Alex & Maria | Preffered |,,ΑΜΠΕΛΟΚΗΠΟΙ,37.9917943819257,23.768272883926596,Entire home/apt,70,2,2,2018-10-14,0.26,39,23
21193882,2Bdrm Apt with pool-Athens Center (4th floor),748818,George,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98788866574833,23.72147395926722,Private room,140,1,3,2018-09-01,0.39,73,365
21194366,3 bdr Apt with pool - Athens Center (4th floor),748818,George,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.986786869345316,23.721557588460044,Private room,190,1,13,2018-10-07,0.84,73,365
21195111,2Bdrm Apt with pool- Athens Center (3rd floor),748818,George,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98649619145034,23.720344887342886,Entire home/apt,140,2,0,,,73,357
21195850,Suite Acropolis View,151495413,Soktatis,,ΣΤΑΔΙΟ,37.96916816736328,23.74007657498226,Private room,160,1,0,,,3,117
21195879,Διαμέρισμα στο κέντρο με θέα στο πάρκο,72621044,Θεόδωρος,,ΠΕΔΙΟ ΑΡΕΩΣ,37.992931460164236,23.742939616988444,Entire home/apt,30,2,1,2018-10-26,0.28,1,337
21197231,Saint Sava,23524505,Evangelia,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98988003350691,23.757281527907622,Entire home/apt,100,1,0,,,1,362
21207605,apt near Acropolis,64807001,Zeta,,ΝΕΟΣ ΚΟΣΜΟΣ,37.958934030940114,23.73035210063372,Entire home/apt,75,4,3,2018-01-20,0.21,1,181
21208130,Single Standard Room,151847096,Acropolis Museum,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96714093621374,23.729069239750874,Private room,58,1,0,,,5,364
21208232,Twin / Double Standard Room,151847096,Acropolis Museum,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9654113134867,23.727890771230133,Private room,68,1,1,2018-01-14,0.08,5,364
21208258,Deluxe Double Room,151847096,Acropolis Museum,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96675613653708,23.728653969642885,Private room,108,1,0,,,5,364
21208277,Triple Room,151847096,Acropolis Museum,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96588187421037,23.72772297286412,Private room,118,1,0,,,5,364
21208314,Family Room,151847096,Acropolis Museum,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96709599180956,23.728096360644336,Private room,178,1,0,,,5,362
21208455,Homey apartment for 4 people in Koukaki,1621474,Eazybnb Team,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96379570929364,23.725283305420945,Entire home/apt,38,3,11,2019-01-03,0.82,64,365
21209024,Yupin House,153217524,Kosmas,,ΝΙΡΒΑΝΑ,38.00753224419561,23.726793391964517,Entire home/apt,38,1,4,2018-12-06,0.26,1,347
21211058,Central Athens flat,53914280,Amalia,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.01152858263622,23.730565913388368,Entire home/apt,40,3,0,,,1,365
21211199,Spacious apartment near Acropolis with roof garden,113604662,Nikos,,ΑΚΡΟΠΟΛΗ,37.96667834003175,23.713513160812987,Entire home/apt,40,2,0,,,5,181
21213520,ATHENS CENTER,153257530,Danae,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.003367595147196,23.73354083589068,Entire home/apt,24,30,1,2017-12-17,0.07,1,213
21214039,Vintage apartment at Exarhia - Strefi Hill,153262964,Kostas,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.986598714781024,23.740267622306774,Private room,29,1,9,2018-10-02,0.56,1,180
21216455,Super Stylish Apartments in Syntagma Sq. (SSA 5),86924588,Elena,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97308768235702,23.732750696190102,Entire home/apt,59,1,86,2019-01-26,5.36,2,205
21221417,Beautiful apt with balcony & Wifi,107248687,Loic,,ΠΑΓΚΡΑΤΙ,37.964618869602695,23.748319817330344,Entire home/apt,71,2,0,,,6,365
21221570,Bright & Modern 2 bdr Apartment,748818,George,,ΒΟΤΑΝΙΚΟΣ,37.975645264518796,23.703446161189014,Entire home/apt,40,2,0,,,73,361
21222151,Little Sweet Apt in Central Athens - Kallimarmaro,65714690,Home,,ΣΤΑΔΙΟ,37.964976623356485,23.74132416248468,Entire home/apt,30,2,5,2018-11-13,0.36,46,344
21222323,Single room,153227375,Anna,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.986379334005264,23.720334304585684,Private room,170,1,0,,,16,54
21222340,"Hephaestus, Stylish Apt with Balcony, Common Gym, Laundry",113548208,Mary,,ΠΑΓΚΡΑΤΙ,37.97178391644332,23.743456407791353,Entire home/apt,80,2,4,2019-01-09,0.36,22,309
21222457,Standard Double or Twin Room,153227375,Anna,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98686026276644,23.72226908753344,Private room,200,1,0,,,16,149
21222483,Superior Double or Twin Room,153227375,Anna,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.986190254802,23.722174935790175,Private room,230,1,0,,,16,50
21222533,Superior Room With View to Acropolis,153227375,Anna,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.986947038498705,23.72103623307818,Private room,300,1,0,,,16,48
21222552,Deluxe Studio,153227375,Anna,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98627982601678,23.721922475668414,Private room,500,1,0,,,16,40
21222628,Budget Family Room,153227375,Anna,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.987981888202405,23.721139523869386,Private room,350,1,0,,,16,32
21222658,Family-Two bedrooms,153227375,Anna,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98758444669211,23.721036479277494,Private room,400,1,0,,,16,26
21224055,White Lotus Economy Room,153227375,Anna,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98651501802494,23.720568850385813,Private room,150,1,0,,,16,52
21224308,LOTUS INN- Standard Double Room with Street View,153227375,Anna,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.976364498510456,23.72517208780019,Private room,200,1,0,,,16,361
21224323,LOTUS INN- Standard Double Room with Acropolis View,153227375,Anna,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97597773525143,23.72551139612648,Shared room,600,1,0,,,16,359
21224341,LOTUS INN- Junior Suite with Panoramic View to Acropolis & private outdoor Jacuzzi,153227375,Anna,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97570571958938,23.72518658386075,Private room,700,1,0,,,16,296
21226240,Lisimachias New Lovely Apartment,149346682,King,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96029223514253,23.727181973565607,Entire home/apt,48,3,9,2018-11-30,0.75,43,260
21226666,Evridamantos Amazing View In Top Floor,149346682,King,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95702945210023,23.71849202462421,Entire home/apt,49,3,7,2018-11-26,0.45,43,254
21228880,Apartment in Kolonaki 3min from Evangelismos metro,66031611,Manolis,,ΚΟΛΩΝΑΚΙ,37.97706918302792,23.746631574341553,Entire home/apt,48,2,18,2018-11-16,1.13,1,316
