id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
704870121083561886,Rental unit in Athina · ★5.0 · 2 bedrooms · 3 beds · 1 bath,477365307,Frank,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9779413,23.7291739,Entire home/apt,140,2,6,2023-06-11,0.63,1,343,6,00001746118
704877363589287202,Condo in Athina · ★4.83 · 1 bedroom · 2 beds · 1 bath,212201667,Αθηνα,,ΝΙΡΒΑΝΑ,38.01355,23.72435,Entire home/apt,43,1,83,2023-06-22,8.41,1,319,83,00001751770
704925904086916351,Serviced apartment in Athina · 1 bedroom · 2 beds · 1 private bath,477219528,Cohort,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96698,23.72732,Private room,217,1,0,,,4,337,0,1173869
704998047319587862,Rental unit in Athina · ★4.67 · 1 bedroom · 1 bed · 1 bath,275349506,Maria,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98439,23.72391,Entire home/apt,55,1,9,2023-05-31,0.91,3,329,9,00001726885
705055925036109087,Condo in Athina · 1 bedroom · 1 bed · 1 bath,364675428,Nathan Tang,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98912,23.72214,Private room,31,2,0,,,2,161,0,
705594977130554371,Serviced apartment in Athina · 1 bedroom · 2 beds · 1 bath,477219528,Cohort,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96512,23.72665,Entire home/apt,211,1,0,,,4,304,0,1173869
705752783279142278,Rental unit in Athina · ★4.53 · 1 bedroom · 1 bed · 1 bath,98958529,Nidale,,ΖΑΠΠΕΙΟ,37.97056,23.74075,Entire home/apt,50,2,15,2023-06-11,1.67,1,339,15,00001750295
705839047686887775,Condo in Athina · 1 bedroom · 1 bed · 1 bath,460929436,Ehud,,ΚΥΨΕΛΗ,37.9966429,23.7340667,Entire home/apt,70,2,1,2023-01-10,0.18,2,364,1,00001753673
706073612795763071,Condo in Athina · ★4.50 · 2 bedrooms · 3 beds · 1 bath,431610304,Di,,ΓΟΥΔΙ,37.9818063,23.7614392,Entire home/apt,52,1,40,2023-06-23,4.07,5,55,40,00001707747
706174087794154447,Hotel in Athina · ★5.0 · 1 bedroom · 4 beds · 1 shared bath,477219528,Cohort,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96706,23.72733,Private room,166,1,3,2023-05-12,0.90,4,326,3,1173869
706232597324099402,Condo in Athina · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,477643589,Τριανταφυλλια,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.0055605,23.7339993,Private room,15,1,38,2023-06-22,4.04,1,144,38,
706356354095301307,Rental unit in Athina · ★4.33 · 1 bedroom · 3 beds · 1 bath,477521186,Kosmas,,ΑΜΠΕΛΟΚΗΠΟΙ,37.9834208,23.7550804,Entire home/apt,40,2,3,2022-10-02,0.31,1,0,3,00001659045
706498277406812777,Boutique hotel in Athina · 1 bedroom · 1 bed · 1 private bath,183287814,John,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9790485,23.7248971,Private room,143,1,2,2022-09-25,0.22,6,283,2,00001736710
706621448518010149,Condo in Athina · ★5.0 · 2 bedrooms · 3 beds · 1 bath,446047748,Χρυσούλα,,ΘΗΣΕΙΟ,37.97533795633416,23.714477746032692,Entire home/apt,130,3,11,2023-05-21,1.13,1,304,11,00001745238
706648842363162212,Condo in Athina · ★4.96 · 1 bedroom · 2 beds · 1 bath,163537123,Symeon,,ΙΛΙΣΙΑ,37.97927,23.7558,Entire home/apt,62,2,26,2023-06-12,2.72,2,341,26,00001676409
706889600307089247,Condo in Athina · ★5.0 · 2 bedrooms · 2 beds · 2 baths,240481675,Gianttrip,,ΚΟΛΩΝΑΚΙ,37.97594,23.74522,Entire home/apt,281,1,7,2023-02-26,0.76,31,344,7,00001383962
706974254477800705,Condo in Athina · ★4.66 · 3 bedrooms · 3 beds · 1.5 baths,123074489,Homer & Isabella,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9658078,23.723793,Entire home/apt,215,2,38,2023-06-21,4.10,49,262,38,00001051148
